,service_type,p-value,direction
1664,Immediate Transfer to 911,0.21776907709100235,-3.0
1665,Stream Erosion on or Near Property,0.21779329353654467,0.7857142857142858
1666,Employee - Child with Disability Health Insurance Coverage,0.21779639450991747,-0.2857142857142857
1667,Discussion of Pending Civil Court Case,0.21779639450991747,-0.2857142857142857
1668,Operating a Business Out of Private Residence as Sole Employee With No Clients Present at Residence,0.21779639450991747,-0.2857142857142857
1669,Non-Employee - County Training Course Transcript,0.21779639450991756,-0.2857142857142857
1670,County Contract Representative,0.21779639450991756,-0.2857142857142857
1671,"COVID-19 Restaurant, Bars, Theater, Gym and other Non-Essential Business Closures",0.21848735404759995,36.4
1672,Low Cost Legal Assistance,0.21850803033112265,-1.8857142857142861
1673,Placing an Order,0.21871080425352143,0.8142857142857144
1674,"Probation and Parole Office, State of Maryland, Montgomery County Information",0.2199552661951385,-0.6428571428571428
1675,Employee or Retiree- Summary of Benefits Coverage (SBC),0.22066171683196625,1.3428571428571434
1676,Resale of a Moderately Priced Dwelling Unit (MPDU),0.2207786165413395,-0.6571428571428573
1677,Restrictions Related to Temporary Signs in a Commercial Zone,0.22109737595446952,-0.3428571428571429
1678,Alert Montgomery Login Assistance,0.22261151918762825,-4.014285714285714
1679,COVID-19 Waiver for Alcohol Sales after 10:00 PM,0.22286835013352002,0.4
1680,COVID-19 Resources for Business Including Public Health Emergency Grant Program,0.22286835013352002,21.2
1681,Montgomery County Tax Bills Processed Out of State,0.22286835013352002,0.4
1682,Medicaid Eligibility Status Timeframe for Transportation Program,0.22304816934726318,0.2857142857142857
1683,Residential Violation/Complaint Investigation,0.2232946126644745,7.657142857142851
1684,Residential Street Sweeping,0.2235438333620281,-1.7142857142857144
1685,Employee or Retiree Metlife Insurance,0.223611374915039,-2.242857142857142
1686,Federal Drone Operation Restrictions,0.22373868273138922,0.5285714285714286
1687,Refund Request for Recreation Course,0.2240796631262859,0.3857142857142857
1688,Montgomery County Credit Union,0.2240796631262859,-0.3857142857142857
1689,Food or Entertainment License,0.2240796631262859,-0.3857142857142857
1690,Housing Opportunities Commission (HOC) Voucher Eligibility for Homeless People,0.2240796631262859,-0.3857142857142857
1691,Complete or Partial Closure of a Private Road in Urban Areas,0.22413136248446194,-0.4714285714285714
1692,Failure to Renew the Journeyman Electricians License,0.22468730692131952,1.4285714285714284
1693,Open House Number For MPDU Resale,0.22477787411589178,-0.5
1694,Employee - Long Term Care Insurance,0.224965606394323,-0.4714285714285714
1695,Holiday Alcohol Beverage Services Store Hours,0.22564310864164935,0.7857142857142857
1696,Office of Human Rights Intake Complaint and Inquiry,0.22661422163922715,-1.8571428571428577
1697,Tree in the Public Right-of-Way,0.22841404406499208,0.5571428571428572
1698,Picking up an Order,0.2288600752788268,-1.6285714285714283
1699,Employee - Request To Change Tax Withholdings,0.2300938504926549,-0.8428571428571427
1700,Employment of Minors (Work Permit) - Employment Standards Service (ESS),0.23039464616777217,-0.3
1701,Commercial Parking Lot Registration,0.23039464616777217,-0.3
1702,Report an Unlicensed Rental Property,0.2309711958702791,-2.628571428571428
1703,Compliance With the State Lead Poisoning Prevention Program to Obtain a Rental License,0.23354108205288526,99.41428571428571
1704,Trespassing,0.2338523057547548,0.5714285714285714
1705,Duration of Sediment Control Permit,0.2344623615786307,-0.3
1706,Penalties for Failing to Obtain a Rental License,0.23456675855223472,-0.4857142857142857
1707,Voted Absentee Ballot Not Mailed - Drop Off at Polling Place,0.23477045459132886,2.0
1708,Grocery Delivery Services,0.23670839873793673,1.0
1709,Fire Protection Permits - New Construction,0.23677294498110119,-0.9571428571428573
1710,Contacting Right of Way Inspector,0.2377397069581876,-4.6
1711,Sand and Salt Barrels,0.23859963295121378,-0.35714285714285715
1712,Ride On S Service Plan Implementation,0.23859963295121378,-0.35714285714285715
1713,Bicycle Registration,0.23870318275925267,0.6571428571428571
1714,Rental Assistance Programs (RAP) Location,0.23898696660638102,-1.871428571428571
1715,Montgomery County Property Tax Assessment Appeals Board,0.23918454538518472,1.2714285714285718
1716,Order was Cancelled,0.23943107964293156,-0.5428571428571428
1717,Montgomery County Rx Program Request for Card,0.2399987741780695,-0.5
1718,Massage Therapist ID,0.24007130452841047,-0.3285714285714285
1719,Fireworks Display Permit,0.24007130452841047,-0.3285714285714285
1720,Reporting Trash Dumping or Littering to the Montgomery County Police,0.24320281890738732,-0.5428571428571427
1721,City of Rockville Police,0.24402174719410136,-0.5
1722,Montgomery County Cancels Independence Day Fireworks Celebration,0.24433314386747926,0.5
1723,Cancel a Sediment Control Inspection,0.24514744425408938,-0.6142857142857143
1724,AccessMCG (iRecruitment) - Modify Submitted Job Application,0.24530591771614652,-0.22857142857142854
1725,Childhood Lead Prevention Program,0.24530591771614652,-0.22857142857142854
1726,Mental Health Association Hotline,0.24530591771614652,-0.22857142857142854
1727,Temporary Electrical Service for Construction,0.24530591771614652,-0.22857142857142854
1728,Required Immunizations for Children to Attend School for International or Income Qualifying Individuals 5 to 18 Years of Age,0.24530591771614652,-0.22857142857142854
1729,Single Family Loan Program and Refinancing a Mortgage,0.24530591771614652,-0.22857142857142854
1730,Purple Line Construction,0.24547834669874208,-2.2857142857142856
1731,Schedule a Trip Provided by Metro Access,0.246167570510214,-0.5857142857142856
1732,Bee Keeping,0.24898625647341713,-0.5714285714285714
1733,Resource Guides for Seniors,0.24906544220237456,-0.3857142857142857
1734,Call-n-Ride Participating Taxicab Providers,0.24991786713519998,-0.4571428571428572
1735,COVID-19 Coronavirus General Information Including Orders and Health Directives,0.2511052100694777,24.3
1736,Situations Where Electrical Permit is NOT Required,0.25173000129834044,-0.2714285714285714
1737,Grants Offered by the DHCA Single Family Loan Program,0.25173000129834044,-0.2714285714285714
1738,Determining Construction Projects in Neighborhood,0.25173000129834056,-0.2714285714285714
1739,Board of Appeals,0.2521888611993523,-0.4285714285714286
1740,Obtain Commercial Invoice or Credit Receipt,0.2528658089484263,-0.5428571428571428
1741,Report Stagnant Water on Private Property,0.253297768486576,1.2714285714285716
1742,Licensee Wants to Return Empty Keg,0.25350313784286327,-0.3428571428571429
1743,"Ride On Schedule Changes Effective Sunday, September 15, 2019",0.25362200612927194,-0.42857142857142855
1744,Object in Right-of-Way (ROW),0.2547041417244813,-2.2285714285714295
1745,Applying for a Right of Way Permit,0.25513201482769604,-5.100000000000001
1746,County Offices Closed,0.25646937566266664,-39.58571428571429
1747,Thanksgiving or December Holidays Donations for Needy Families,0.2571779543561462,2.757142857142857
1748,Special Exception Bill,0.2576331991420585,-1.9285714285714286
1749,Air Pollution - Indoor,0.2588707809297542,-1.5999999999999996
1750,How to apply for Pre-Release and Reentry Services (PRRS),0.2591075971070217,-0.1857142857142857
1751,Geothermal Heat Pump - Permits Required Department of Permitting Services,0.2591075971070217,-0.1857142857142857
1752,Autism Waiver Registry,0.2591075971070217,-0.1857142857142857
1753,Medical Care or Healthcare for Homeless Adults,0.2591075971070217,-0.1857142857142857
1754,Directions to Liquor Warehouse and Main Office,0.2591075971070217,-0.1857142857142857
1755,List of Registered Montgomery County Common Ownership Communities (COC) with Officers and Agents,0.2591075971070217,-0.1857142857142857
1756,Treasury Staff Complaint,0.2591075971070217,-0.1857142857142857
1757,Troubled Property,0.2591075971070217,-0.1857142857142857
1758,Birthday Parties at a Fire House,0.2591075971070217,-0.1857142857142857
1759,Location of Speed Cameras in Montgomery County,0.2591075971070217,-0.1857142857142857
1760,Substitution of Security Deposit for Payment of Final Month's Rent,0.2591075971070217,-0.1857142857142857
1761,Building Permit for Residents of an Incorporated Town,0.2591075971070218,-0.9285714285714284
1762,COVID Corps,0.25956449590696923,2.5
1763,Health Care Access for Uninsured Adults (Montgomery Cares),0.2597860950420025,6.0
1764,Refund or Billing Question for the Community Use of Public Facilities,0.2606063260762877,0.3857142857142857
1765,"General Inquiry for Libraries - Comment, or Complaint",0.26107226438797493,-0.7428571428571429
1766,Ride On Hours of Operation,0.26153189680120653,-3.1714285714285713
1767,Location of County Holiday Calendar on the Website,0.26255514087201937,-0.6
1768,Ride On Holiday Schedule:  July 4th,0.2629368681954135,-1.8285714285714285
1769,Item not Available in Store and Customer Wants to Place Order in Retail Store,0.26299800101000115,-0.2571428571428571
1770,Landline Telephone Complaints,0.26299800101000115,-0.2571428571428571
1771,Pay On-Foot Parking System,0.26299800101000115,-0.2571428571428571
1772,Modular Furniture Permit,0.26577732187632475,-0.7571428571428571
1773,"Cancel a Department of Permitting Service Permit, License or Certificate",0.2660153446218264,2.1999999999999993
1774,Carbon Monoxide Alarm General Safety Information,0.2667204854106945,0.5714285714285714
1775,Snow Plow Blocked Driveway,0.26680822433522106,-5.371428571428571
1776,Information Regarding Temporary Signs on Private Residential Property,0.26723679632783626,0.7571428571428571
1777,How to Sign up for the MPDU Orientation Seminar,0.2685913426498408,2.728571428571428
1778,Prince George's County 311,0.2686062514281273,-13.385714285714272
1779,Permit Requirements for Residential Alterations,0.26878997383334163,5.285714285714285
1780,Potomac Edison,0.26947635635038214,-0.4285714285714286
1781,County Cable Montgomery,0.27015656920525005,0.5714285714285714
1782,New Vendor Setup for Supplier,0.2701604430184501,-0.3
1783,Request Application for a Liquor License,0.2701604430184501,-0.3
1784,Kids Lemonade Stand,0.27105612718089234,-0.3
1785,Trash in Stream/Waterway,0.271246112082282,0.7
1786,"Four Ways to Register for Recreation Classes, Registration Confirmation",0.272315301305537,-0.3857142857142857
1787,U.S. Department of Education,0.272315301305537,-0.3857142857142857
1788,Employee or Retiree - Dependent Turning Age 26,0.2743966543261933,2.314285714285714
1789,Written Confirmation of a Zoning Classification For a Certain Property / Verification That a Specific Use is Permitted in a Zone,0.27517359878912123,-1.5142857142857142
1790,Employee - Open Enrollment Schedule,0.27644277589419963,-1.6428571428571428
1791,Snow Plow Timeline,0.2769545230641964,-9.342857142857142
1792,File of Life Program,0.2769707012902143,34.6
1793,Recycling & Refuse Services Field Check,0.2772870275495996,-27.5
1794,Environmental Health Survey,0.2780005251761134,0.8142857142857144
1795,Schedule for Plowing Snow on Public Street,0.27801665643590795,-3.7142857142857144
1796,Obtaining a Montgomery County Master's Electrical License with a Maryland State License,0.27848489115159997,-0.8285714285714292
1797,Housing Initiative Program  (HIP),0.27856298006332236,1.0714285714285714
1798,Composting and Grasscycling Questions,0.2788432694110832,-10.0
1799,Length of Time to Finish Plowing All Streets,0.2806899751936632,-2.4428571428571426
1800,Baltimore Gas and Electric (BGE),0.28205127852872725,-0.41428571428571415
1801,Public Assistance Programs Change Line,0.28212470622542735,22.61428571428572
1802,COVID-19 Phase One Reopening,0.2826921231853074,20.9
1803,Retiree - Survivor Benefits Information,0.28276539657761585,0.9428571428571431
1804,Obtaining Public Records from the Department of Permitting Services,0.2830473533911241,13.157142857142873
1805,Obtain a Residential Use and Occupancy Certificate,0.2835731543215931,0.7857142857142856
1806,Tax Lien Sale Advertisement Fee Information,0.2854831977742635,-0.7285714285714286
1807,Montgomery County Agricultural Fairgrounds,0.28574155683770686,-2.0428571428571427
1808,Correcting a Bag Tax Filing,0.2868300244474784,-1.7714285714285716
1809,Property Tax Delinquent Notice,0.2868968006585626,-130.94285714285712
1810,Bankruptcy Information,0.28695320736194885,-0.4285714285714286
1811,Wires Down,0.2870104382612872,-2.3000000000000007
1812,Drainage Assistance Request Program (DAR),0.2878464316603865,-1.7571428571428567
1813,Notice to Vacate for Breach of Lease,0.2882277598923913,-0.48571428571428577
1814,Required Inspections and Scheduling for Residential Electrical Equipment Installation,0.2889876680568471,1.7285714285714282
1815,"Unsecured, Dangling or Low Hanging Cable Wires",0.28906999881503787,-0.5142857142857142
1816,Asbestos,0.28912620454607,-1.057142857142857
1817,Location and Business Hours for the Division of Licensure and Regulatory Services,0.2891731616465361,-1.2428571428571433
1818,Bethesda Urban District,0.28935856319262643,0.6000000000000001
1819,Gaithersburg HELP,0.2900178756400393,1.5714285714285712
1820,Retiree - Vision Insurance Question,0.2900386142399922,-0.7857142857142857
1821,Time to Process a Mechanical Permit,0.2909495405554034,0.6571428571428571
1822,Food Stamp Benefits - Partial Federal Government Shutdown 2019,0.2915263855405421,-1.2857142857142858
1823,Report Someone Not Cleaning Up After a Pet,0.2921476145668846,-1.6714285714285708
1824,Retiree - ID Number on Fact Sheet,0.29254960522971335,0.45714285714285713
1825,"Physician, Dentist or Medical Provider Bills Complaint",0.2937100138058642,-0.3857142857142857
1826,Next Step After receiving MPDU Certificate,0.29558494234371585,-0.2714285714285714
1827,Montgomery County Public Electric Vehicle Charging Stations,0.2955849423437159,-0.2714285714285714
1828,Lyme Disease,0.2955849423437159,0.2714285714285714
1829,County's Right of First Refusal and Condominium Conversion Information,0.2958098909085078,-0.30000000000000004
1830,Facilities or Building Maintenance,0.2964219994302421,-1.7000000000000002
1831,County Council Main Phone and Fax Number,0.29721328095226995,-1.5714285714285712
1832,Differences Between Regular Site Plans and Certified Site Plans,0.2973278307510055,0.4714285714285713
1833,Employee - Open Enrollment Packet Problem,0.29788284348966654,-0.6
1834,"Volunteer Opportunities With More Than 800 Local Nonprofits, County Government Offices and Schools",0.3005813339203253,0.2714285714285714
1835,Apply for office of Home Energy Programs Check Status of New Application or Recertification or for Assistance with Utility Disconnection,0.3009252792290569,1.2
1836,Contacting the Housing Opportunities Commission (HOC) Maintenance Office,0.30168064688061325,1.0571428571428574
1837,Sprinkler Installation Requirements Residential Construction,0.30242843932907537,-0.3571428571428571
1838,Montgomery County Fire Rescue Service Staff or Service Complaints,0.3035352031864935,-0.44285714285714284
1839,Snow Removal Status,0.3038089526108512,-18.071428571428573
1840,Applying for a New or Transfer an Alcohol License,0.30421288273906794,-0.3
1841,Montgomery County Legal Immigration Services,0.3046559450179974,-0.5
1842,Reporting Under Age Alcohol Purchase or Use,0.3048536568209427,-0.3
1843,Reporting a Stray Dog or Livestock at Large,0.3053919808786118,-1.0
1844,Supplemental Tax Bills,0.3056430477185954,-3.242857142857142
1845,Ride On Parking at Germantown Transit Center,0.30625583440317194,-0.22857142857142854
1846,Fallen Tree at County Facility or Property,0.30625583440317194,-0.22857142857142854
1847,DTS Cable Office Staff Complaint,0.30625583440317194,-0.22857142857142854
1848,Human Rights Camp,0.30625583440317194,-0.22857142857142854
1849,AccessMCG (Participating Agency Employee) - Didn't Receive or Can't Find Letter With Temporary Login Username & Temporary Password,0.30625583440317194,-0.22857142857142854
1850,Call-n-Ride Same Day Access,0.30625583440317194,-0.22857142857142854
1851,"Call-n-Ride Taxi Transportation to DC, PG County, VA or Baltimore",0.30625583440317194,-0.22857142857142854
1852,School Health Services,0.30625583440317206,-0.22857142857142854
1853,Application for Selling Agricultural Produce in Public Right of Way,0.30625583440317206,-0.22857142857142854
1854,Use of Letter of Credit for Posting of Bond for Sediment Control and Right of Way Permits,0.30634314292331793,-0.3428571428571429
1855,Crews Digging on my Property,0.30708762293324865,0.2571428571428572
1856,DEP Solid Waste Staff Complaint,0.3070876229332487,0.2571428571428572
1857,Accessory Dwelling Unit Public Notice Sign,0.30748467630894993,0.3428571428571428
1858,Permit Required to Plant Shrubs or Trim a Tree in the Right of Way,0.3102211047134927,-0.9857142857142858
1859,Medicaid Transportation Program Process to Participate,0.310427033281107,-0.2571428571428571
1860,Special Protection Area (SPA),0.310427033281107,-0.2571428571428571
1861,Enforcement Process for Un-shoveled Sidewalk Complaints,0.310427033281107,-0.2571428571428571
1862,Roadside Tree Affidavit,0.310432468406149,-0.4571428571428572
1863,MC Leave Policy During Inclement Weather,0.31163663637383143,-1.5
1864,Employee - Commuter Choice Transit Flexible Spending Account,0.3124264457213545,-0.4
1865,Spoofing and Robocalls,0.3126054894717517,-0.3857142857142857
1866,New and Improved Ride On Real Time Application,0.3131801621619828,55.62857142857143
1867,Tree Limbs on Utility Wires,0.3137316424123513,3.6571428571428584
1868,"Streetlight Danger, Knockdown or Hazard (Metal lightpole)",0.31431213904162625,1.2285714285714295
1869,Supplemental Tax Bills Types and Coverage,0.31442252766037554,-0.7142857142857142
1870,Graffiti Abatement Partners (GRAB),0.3146418295698684,-1.0428571428571431
1871,Corrective Action Plan For Troubled Property,0.3155709078969186,-1.7285714285714286
1872,COVID-19 Ride On Flex and  Temporary Suspension of Service,0.31593622314690767,13.0
1873,Dental Care for Pregnant Women,0.3161392689492673,0.4428571428571429
1874,Ride On Holiday Schedule:  Columbus Day,0.3162351094801571,-1.8571428571428572
1875,Medicaid Hotline Number for Complaints Billing Health Choice Enrollment Pharmacy Access and Coverage Questions Hotline,0.31656380009943585,-1.2714285714285714
1876,Parking in the Front Yard,0.3169852624793847,-0.41428571428571415
1877,Free Income Tax Assistance Tax Year 2019,0.31744096516479176,13.814285714285715
1878,Locate a physician who takes Medicaid or Make a Complaint,0.31766296721436926,0.2142857142857143
1879,Gross Income - Moderately Priced Dwelling Unit (MPDU) Application,0.31766296721436926,0.2142857142857143
1880,City of Gaithersburg Public Works,0.3192050169374712,-0.9285714285714288
1881,"Financial Donations to Montgomery County, MD",0.31965606208755265,0.3285714285714286
1882,Bay Restoration Fund Fee Explained,0.3196560620875528,0.3285714285714286
1883,Head Start Program,0.32018664354225945,-1.0
1884,Identify Property Owner,0.32123145119592705,-0.4571428571428573
1885,Town of Garrett Park,0.3213518737143219,0.4285714285714286
1886,The Site-Specific Vendor Application Process,0.3219987224542769,0.6000000000000001
1887,Montgomery Cares Dental Care,0.32336492160915487,0.5428571428571428
1888,Care for Kids Health Care Eligibility Offices,0.3243176198724448,-5.385714285714286
1889,Car Towed from Private Property,0.3262512261925212,0.7428571428571429
1890,Special Order - Product Missing from ABS Delivery,0.3274084634441867,-0.3714285714285714
1891,Business Location Does Not Appear on the Personal Property Tax Bill,0.3285293747955813,-0.6714285714285717
1892,Complaint Regarding a Water Bill,0.3293144677278552,-0.5142857142857142
1893,Plowing of Montgomery County Streets,0.32948396099643595,-7.957142857142857
1894,Car Auctions,0.3306155302372549,-0.5857142857142856
1895,M-NCPPC Rent Park or Facility,0.33089500432381747,-0.3428571428571429
1896,Obtaining Floodplain Information for Property,0.33089500432381747,-0.3428571428571429
1897,Mosquito Control,0.33134915090936334,-0.5142857142857142
1898,Information on Applying for a ABS position,0.3315988031941066,0.22857142857142856
1899,Direct Shipping -  Delivering of Alcohol to House,0.3315988031941066,0.22857142857142856
1900,Reporting Content Problems with Departmental Websites  (INTERNAL CSR USE ONLY),0.3315988031941066,0.22857142857142856
1901,Utility Disruptions,0.3315988031941066,0.22857142857142856
1902,Employee - Open Enrollment Single Sign-On Access Error,0.3315988031941066,0.22857142857142856
1903,Retiree - Turning Age 65,0.33212107534858837,-6.928571428571427
1904,Call-n-Ride Special Transportation,0.33273866072276703,-0.31428571428571417
1905,Xfinity by Comcast Customer Service,0.3329289856328611,11.485714285714288
1906,Sheriff's Office Address,0.33326925525310735,-0.2714285714285714
1907,M-NCPPC Classes,0.33326925525310735,-0.2714285714285714
1908,Property Tax Credits Justification,0.3347643502837757,-11.414285714285718
1909,Maryland Office of the Public Defender,0.3351004967455853,-0.8142857142857145
1910,Political Party Affiliation,0.3352814943355107,-0.2714285714285714
1911,Montgomery County Recreation Facility Rental,0.3352814943355107,-0.2714285714285714
1912,Contact the Montgomery County Fire Marshal's Office,0.33556127786542234,-3.2142857142857144
1913,Indecent Exposure,0.33556127786542256,-0.07142857142857142
1914,Ride On Germantown MARC Station,0.33556127786542256,-0.07142857142857142
1915,Yearly Financial Disclosure Filing Requirements,0.33556127786542256,-0.07142857142857142
1916,Compliance Programs,0.33556127786542256,-0.07142857142857142
1917,Age to Serve Alcohol,0.33556127786542256,-0.07142857142857142
1918,Nutritional Menu Law,0.33556127786542256,-0.07142857142857142
1919,Alcohol Use in School or Government Facility,0.33556127786542256,-0.07142857142857142
1920,Process to Address Returned Check for Recreation Program,0.33556127786542256,-0.07142857142857142
1921,Radiological Hazards,0.33556127786542256,-0.07142857142857142
1922,Human Rights Training,0.33556127786542256,-0.07142857142857142
1923,iStore Setup for Additional Users on Existing Licensee,0.33556127786542256,-0.07142857142857142
1924,Teen Programs Offered by the Recreation Department,0.33556127786542256,-0.07142857142857142
1925,Bethesda Events,0.33556127786542256,-0.07142857142857142
1926,Office of Procurement Parking,0.33556127786542256,-0.07142857142857142
1927,HOME Program,0.33556127786542256,-0.07142857142857142
1928,Inmate Account,0.33556127786542256,-0.07142857142857142
1929,Special Elections,0.33556127786542256,-0.07142857142857142
1930,Office of Legislative Oversight (OLO) Responsibilities,0.33556127786542256,-0.07142857142857142
1931,County's Animal Response Team (CART) Volunteer Opportunities,0.33556127786542256,-0.07142857142857142
1932,Solicitation Payment,0.33556127786542256,-0.07142857142857142
1933,State Rental Allowance Program,0.33556127786542256,-0.07142857142857142
1934,Display an AM/PM Parking Permit,0.33556127786542256,-0.07142857142857142
1935,LEDs and Libations,0.33556127786542256,-0.07142857142857142
1936,Alert Montgomery - Retirement of Old Alert Montgomery Accounts,0.33556127786542256,-0.07142857142857142
1937,M-NCPPC Cabin John Ice Rink,0.33556127786542256,-0.07142857142857142
1938,MS4 Stormwater Permit Inquiry,0.33556127786542256,-0.07142857142857142
1939,Census 2020 and Related Jobs,0.33556127786542256,-0.14285714285714285
1940,Wine or Liquor Tasting in ABS Retail Store,0.33556127786542256,-0.07142857142857142
1941,Transit Link Card (TLC) Acceptance on Montgomery County Ride On Buses,0.33556127786542256,-0.07142857142857142
1942,M-NCPPC Wild Montgomery,0.33556127786542256,-0.07142857142857142
1943,Web Address for the Moderately Priced Dwelling Unit (MPDU) Program,0.33556127786542256,-0.07142857142857142
1944,Income or Deductions Considered for Eligibility for Child Care Subsidies,0.33556127786542256,-0.07142857142857142
1945,Human Trafficking Investigations,0.33556127786542256,-0.07142857142857142
1946,M-NCPPC Schedule Lights on Tennis Court or Baseball Field,0.33556127786542256,-0.07142857142857142
1947,Women's Cancer Control Program - Test Results,0.33556127786542256,-0.07142857142857142
1948,Amber Alert,0.33556127786542256,-0.07142857142857142
1949,Montgomery County Biotechnology Investor Incentive Program,0.33556127786542267,-0.21428571428571427
1950,Forms and Applications Related to Montgomery County Fire Rescue Service Fire (MCFRS) Code Compliance,0.33556127786542267,-0.6428571428571429
1951,Contact MANNA,0.33556127786542267,-0.42857142857142855
1952,Federal Government Shutdown 2018,0.33556127786542267,-0.42857142857142855
1953,Care for Kids MAGI Offices,0.33556127786542267,-1.7142857142857142
1954,DOA,0.33556127786542267,-0.21428571428571427
1955,Sidewalk Snow Removal Bill Information,0.33556127786542267,-0.42857142857142855
1956,Floods,0.33556127786542267,-0.21428571428571427
1957,Ride On Fare Passes to Pay for the $3.65 Express Route for Route 70,0.3355612778654228,-0.07142857142857142
1958,Employee - Group Insurance 2019 Final Confirmation Statement Error,0.3355612778654228,-0.07142857142857142
1959,Determining Resident's District,0.3355612778654228,-0.07142857142857142
1960,Red X on Streetlight,0.3355612778654228,-0.07142857142857142
1961,Supportive Housing Clinical Teams - Germantown,0.3355612778654228,-0.07142857142857142
1962,Bear Sightings in Montgomery County,0.3355612778654228,-0.14285714285714285
1963,Process to Request Advice From the Ethics Commission,0.3355612778654228,-0.07142857142857142
1964,"Kingsview Park and Ride Lot - Changes effective November 20, 2017",0.3355612778654228,-0.07142857142857142
1965,Housing Choice Voucher and/or Public Housing Program Waiting List Address Update,0.3355612778654228,-0.07142857142857142
1966,Germantown Community Flea Market,0.3355612778654228,-0.14285714285714285
1967,Recreation Instructor Contact Information,0.3355612778654228,-0.07142857142857142
1968,Ratio Reports,0.3355612778654228,-0.07142857142857142
1969,Emergency Preparedness for Senior Citizens,0.3355612778654228,-0.07142857142857142
1970,Liquor Control Newsletter,0.3355612778654228,-0.07142857142857142
1971,Election Boundary Lines,0.3355612778654228,-0.07142857142857142
1972,Fish Species Found in Montgomery County,0.3355612778654228,-0.07142857142857142
1973,Official County Car Use,0.3355612778654228,-0.07142857142857142
1974,Building Energy Benchmarking Law,0.3355612778654228,-0.07142857142857142
1975,Performance Matters: Performance Management (PM),0.3355612778654228,-0.07142857142857142
1976,Property Acquisition,0.3355612778654228,-0.07142857142857142
1977,Village of Martin's Additions,0.3355612778654228,-0.07142857142857142
1978,Persons Eligible to File Complaints Alleging Violation of the County Ethics Law,0.3355612778654228,-0.07142857142857142
1979,Holiday Craft Show,0.3355612778654228,-0.07142857142857142
1980,Smoke Alarm or Detector Requirements Residential Homes or Apartments,0.3355612778654228,-0.07142857142857142
1981,Process to Become an Approved Student Service Learning (SSL) Organization,0.3355612778654228,-0.07142857142857142
1982,Montgomery County's Commercial PACE Financing Program,0.3355612778654228,-0.07142857142857142
1983,Licensee Had a Violation at their Business,0.3355612778654228,-0.14285714285714285
1984,Council Staff Structure,0.3355612778654228,-0.07142857142857142
1985,Montgomery County Reaffirming Community Values Regarding Immigrants,0.3355612778654228,-0.07142857142857142
1986,Specialized Support Groups for Victims,0.3355612778654228,-0.14285714285714285
1987,Sheriff's Office Compliment,0.3355612778654228,-0.07142857142857142
1988,Citizenship Requirement for Purchasing a Moderately Priced Dwelling Unit (MPDU),0.3355612778654228,-0.07142857142857142
1989,AccessMCG - Can't Remember Responses to Challenge Questions,0.3355612778654228,-0.07142857142857142
1990,Loan Repayment Start Date for the DHCA Single Family Loan Program,0.3355612778654228,-0.07142857142857142
1991,Hypothermia Alert: Cold Weather Information for People and Animals,0.3355612778654228,-0.07142857142857142
1992,Special Order - Product Missing from DLC Delivery,0.3355612778654228,-0.07142857142857142
1993,iStore Training for Sales Reps,0.3355612778654228,-0.14285714285714285
1994,Montgomery County Sister Cities Inc.,0.3355612778654228,-0.07142857142857142
1995,Product Not Available that was Delivered to ABS,0.3355612778654228,-0.07142857142857142
1996,"Bethesda, Montgomery County Language Classes",0.3355612778654228,-0.07142857142857142
1997,Employee - OHR Health Insurance Team Staff Compliment,0.3355612778654228,-0.07142857142857142
1998,Information on Applying for a DLC position,0.3355612778654228,-0.07142857142857142
1999,Neighborhood Opportunity Network Site Gaithersburg,0.3355612778654228,-0.14285714285714285
2000,Neighborhood Street,0.3355612778654228,-0.14285714285714285
2001,MPIA - Directed Release of Paperless Airplane Email List,0.3355612778654228,-0.07142857142857142
2002,Rejection of Prospective Tenant Based on Credit Worthiness,0.3355612778654228,-0.07142857142857142
2003,Pay Fees and Bonds,0.3355612778654228,-0.14285714285714285
2004,Retiree - Medical Billing  Statement Review,0.3355612778654228,-0.07142857142857142
2005,Inclusion of Non-Biological Parent's Spousal Income in Child Care Subsidy Program Eligibility,0.3355612778654228,-0.07142857142857142
2006,Silver Spring Development,0.3355612778654228,-0.07142857142857142
2007,AccessMCG External (iRecruitment) - Accounts Created Using a County Email Address,0.3355612778654228,-0.07142857142857142
2008,Pre-Release and Reentry Services (PRRS) Waiting List,0.3355612778654228,-0.07142857142857142
2009,Public Utility-Fuel Energy Tax Return,0.3355612778654228,-0.07142857142857142
2010,Returned Financial Disclosure Filing,0.3355612778654228,-0.07142857142857142
2011,Report Storm Damage,0.3355612778654228,-0.07142857142857142
2012,Website for the Merit System Protection Board,0.3355612778654228,-0.07142857142857142
2013,Maryland Claim Process for Federal Employees Furloughed December 2018 - Unemployment Insurance,0.3355612778654228,-0.07142857142857142
2014,Payment of Library Fines,0.3355612778654228,-0.07142857142857142
2015,Employee Giving Campaign 2019,0.3355612778654228,-0.07142857142857142
2016,Hearing Approval Next Steps,0.3355612778654228,-0.07142857142857142
2017,Access MCG Issues Requiring ERP Assistance,0.3355612778654228,-0.07142857142857142
2018,Minimum State Supplement Benefits and Food Stamps - Germantown,0.3355612778654228,-0.07142857142857142
2019,Abandonment or Removal of Stationary Storage Tanks for Flammable or Combustible Liquids,0.3355612778654228,-0.07142857142857142
2020,Stranded Travelers Assistance,0.3355612778654228,-0.07142857142857142
2021,Preparing Children for an Emergency,0.3355612778654228,-0.07142857142857142
