,service_type,p-value,direction,inc/dec
638,Taxi Fees,0.040092912647747704,-0.2857142857142857,decreased
639,Vision Zero Initiative,0.040092912647747704,-0.2857142857142857,decreased
640,Liquor Store Locations and Hours of Operation,0.040092912647747704,-0.2857142857142857,decreased
641,Height Restrictions for Yard Sign on Private Residential Property,0.040092912647747704,-0.2857142857142857,decreased
642,Cost of Parking in Wheaton,0.040092912647747704,-0.2857142857142857,decreased
643,Youth Substance Usage and Mental Health Screenings,0.040092912647747704,-0.2857142857142857,decreased
644,Services  Provided by the Payment of Montgomery County Property Taxes,0.040092912647747704,-0.2857142857142857,decreased
645,Age/Size When Child Should Start Riding in Forward-Facing Car Seat,0.03678749787978613,0.4,increased
646,Pet Waste Management Program,0.03678749787978613,0.4,increased
647,ABS Delivery Truck Damaged Property,0.03678749787978613,0.4,increased
648,Council News Releases,0.03678749787978613,0.4,increased
649,Home Health Aide Licensing and Cerification,0.03531979291199548,0.4285714285714286,increased
650,How To Update Information About an MPDU Certificate of Eligibility for the Sales Program,0.014956363910414203,0.5,increased
651,Employment Opportunities with Montgomery County Department of Police,0.04415353582141624,0.5285714285714286,increased
652,Request to Speak with a Board of Elections (BOE)  Employee,0.04415353582141624,0.5285714285714286,increased
653,Embezzlement,0.04415353582141624,0.5285714285714286,increased
654,Student Request for Volunteer Opportunities or Internships with Local Nonprofits in Montgomery County,0.04415353582141624,0.5285714285714286,increased
655,Connecting to a New or Existing Water/Sewer Line,0.044922624504341056,0.5571428571428572,increased
656,Adding a Family Member to a Moderately Priced Dwelling Unit (MPDU) Deed during the Control Period.,0.0025530600682614536,0.6285714285714286,increased
657,Montgomery Housing Partnership (MHP),0.04734422550093023,0.757142857142857,increased
658,Office of the County Executive Location and Office Hours,0.022367189680572087,0.8,increased
659,COVID-19 Temporary DHCA Housing Inspection Protocol for Interior Complaints in Response to COVID-19,0.03678749787978613,0.8,increased
660,Refinancing a Moderately Priced Dwelling Unit (MPDU) During the Control Period,0.04328653727451644,0.8142857142857144,increased
661,Hours of Operation for the Board of Elections (BOE),0.03204781206496149,0.8571428571428572,increased
662,Town of Laytonsville,0.011894121122954376,0.8857142857142858,increased
663,Police Towing Complaints,0.009990684849755092,0.9,increased
664,Registering/Signing up for Investment Counseling,0.029399460726834657,0.9,increased
665,Accessory Dwelling Unit (ADU) Complaint,0.041416150486262744,0.9,increased
666,Utility Assistance for Public Housing or HOC (Housing Choice Voucher),0.03456865540063917,0.9142857142857143,increased
667,Simplifile,0.014956363910414203,1.0,increased
668,Change to In-Person Voting at Polling Station after Receiving an Absentee Ballot,0.014956363910414203,1.0,increased
669,Office of Health Care Quality Licensing and Exempt Building Issues,0.01138525507192989,1.0571428571428572,increased
670,AccessMCG (FIN Payroll) - Employee Unable to Complete Address Change Online,0.017438860908343328,1.1,increased
671,Tree Montgomery - Follow up from Site Visit,0.014643677184752882,1.1142857142857143,increased
672,Questions regarding Absentee Ballots for Military or individuals overseas,0.011964617739524319,1.1285714285714286,increased
673,Complaint Regarding a Telephone Bill,0.005121072764272635,1.2,increased
674,State of Maryland Medical Examiner,0.005121072764272635,1.2,increased
675,Employee - Vision Insurance Assistance,0.012992786487757368,1.2,increased
676,Absentee Ballot for General Election After Vote Via Absentee Ballot During Past Primary and/or General Elections,0.013275877464573012,1.3,increased
677,AccessMCG (FIN Payroll) - Temporary Login ID and Temporary Password Assistance,0.013275877464573012,1.3,increased
678,COVID-19 Quarantine Hotel,0.04500099771252722,1.3,increased
679,Employee - Request for Copy of Pay Advice (Payslip),0.004404838762275397,1.4,increased
680,"Current Active Employees' Change of Address, Phone Number or Emergency Contacts",0.006723515763058952,1.4,increased
681,AccessMCG (FIN Payroll) - Employees Viewing Pay Advice or Payslip,0.009106153759546399,1.5,increased
682,DPS Offices Closed for Walk-in Customers,0.018328392205591498,1.5,increased
683,COVID-19 Ride On Offering Face Covering Pilot Program,0.02985818217520561,1.5,increased
684,Public Assistance to Adults,0.04055190058308587,1.5142857142857142,increased
685,"General Information about Types of Stormwater Management BMPs (Ponds, Underground Structures, Dry Ponds, Wetlands, Detention Basins, LID, ESD, Bioretention)",0.004979322437633268,1.5571428571428572,increased
686,Stormwater Management on Private Residential Lots,0.0018694771170562289,1.5857142857142854,increased
687,Maryland Department of Education Division of Early Childhood (Child Care),0.0005367366369119512,1.6,increased
688,"Case Status, Office of Consumer Protection",0.04394807589239724,1.6714285714285715,increased
689,COVID-19 Curbside Pickup and Delivery Zones,0.013963451496507994,1.7,increased
690,COVID-19 Montgomery County Public School Community Messages,0.0012358639645822782,1.8,increased
691,Rental Assistance Program (RAP) Check or Benefit,0.010209635624403978,1.8571428571428572,increased
692,COVID-19 Transportation Updates,0.011879885594370202,1.9,increased
693,COVID-19 Emergency Closure Meals Service for MCPS Students,0.03434503548488308,2.0,increased
694,Employee - Request Copy of W-2 Form Not Received,0.003959385731141098,2.1,increased
695,"Hang Up, Dropped Cal or Wrong Number at ABS",0.029980500798727362,2.171428571428571,increased
696,Maryland Occupational Safety and Health (MOSH),0.018729654672763645,2.2,increased
697,Alcohol Beverage Services Licensee Questions,0.04247053760947851,2.228571428571428,increased
698,COVID-19 Office of County Attorney Update,0.0002559736583619996,2.3,increased
699,Alcohol Beverage Services Hours of Operation,0.024284935156809257,2.3,increased
700,COVID-19 New Employees Enrollment Information,0.011638368466420503,2.5,increased
701,Air Conditioning Requirements in Rental Townhome or Multi-Family Dwelling Unit,0.04197210798802424,2.6,increased
702,Nursing Home Licensing and Complaints,0.04457156018681977,2.628571428571429,increased
703,Food Assistance,0.03570544070953359,2.7,increased
704,"Complaint about Homeless Shelter, Hotel or Motel Issues",0.03206839881733725,2.814285714285714,increased
705,Report a Maintenance Problem in a Stormwater BMP or Pond,5.700280960366331e-05,2.9285714285714284,increased
706,"Retiree - Verification of ERS, RSP or GRIP Pensions",0.02967443656734251,2.942857142857144,increased
707,Definition of Accessory Dwelling Unit,0.00015787420125479412,3.0142857142857142,increased
708,Central Vendor Registration System (CVRS),0.04208551111967857,3.2428571428571424,increased
709,"Tree Permits, Removal, and Concerns.",0.004339370322755132,3.5,increased
710,Failure to Renew an Electrical License,0.004700152674496787,3.8428571428571425,increased
711,Residential Building Permit for Retaining Wall,0.023004665513524168,3.8857142857142852,increased
712,Adding a Family Member to a Property Deed Title,0.04007629214875912,3.8857142857142852,increased
713,Retiree - SilverScript Prescription Plan for Medicare Eligible Retirees,0.030668764868750264,4.185714285714287,increased
714,Reporting Maintenance Issues on School Property,0.019730330956356585,4.228571428571428,increased
715,"Food, Nutrition, Meals on Wheels (MOW), Senior Lunch Program",0.012864553088587558,4.314285714285714,increased
716,Moving Assistance or Storage - HHS,0.04039163076689154,4.4,increased
717,Minimum State Supplement Benefits and Food Stamps,0.013062682735283403,4.428571428571429,increased
718,Greater D.C. Diaper Bank,0.0001728401360376637,4.5,increased
719,Business Trash and Recycling Questions and Complaints,0.016796266672990612,4.5,increased
720,COVID-19 Residential Permit Parking Suspended,0.0012970265272987866,4.7,increased
721,Immunization Clinic Schedule for Children 2020 2021 School Year,0.028493124615367058,5.1,increased
722,Board of Elections Voter Services,0.011047578254103928,5.242857142857143,increased
723,Census 2020 Information and Employment Opportunities,0.024793018114375558,5.342857142857143,increased
724,Noise Complaint to the Police Department,0.0014599323492991353,6.071428571428571,increased
725,Siebel User Training,0.006598677899481601,6.114285714285715,increased
726,Reduced Cost Dental Care for Low Income Adults,0.0024362556057854648,6.3,increased
727,Residential Building Codes,9.025486607532481e-05,6.614285714285715,increased
728,Raising Chickens and Roosters,0.0015522364577662535,6.7,increased
729,Renewing an Electrical License Online,0.01850831921266513,6.828571428571427,increased
730,Driveway Apron Replacement,0.016327105708069296,7.614285714285715,increased
731,Board of Elections 2020 Elections and Early Voting,0.03275431807437015,7.7,increased
732,COVID-19 DHCA MPDU Program,0.0013790508802509341,7.9,increased
733,Income Support Case Manager; Supervisor or Office Complaint All Offices,0.005518210635277248,8.3,increased
734,eBox,0.04039163076689154,8.8,increased
735,COVID-19 Montgomery County Tax Payments and Internal Revenue Service (IRS) Filing Modifications,0.009462668638496314,9.1,increased
736,Assistance with Utility Disconnection - HHS,0.029652570628515253,9.2,increased
737,Health Care Eligibility Units  (formerly MAGI and SEU units) Request All Offices,0.0002281853305549886,9.22857142857143,increased
738,Fax Numbers for HHS Income Supports and Health Care Eligibility Offices,0.016171619687344953,9.828571428571427,increased
739,Absentee Ballot Application Status,0.014171584072909938,9.82857142857143,increased
740,Assistance with State or Federal Taxes,0.017917650273478896,9.885714285714288,increased
741,Specified Low Income Medicare Beneficiary or Qualified Medicare Beneficiary SLMB or QMB for all Public Assistance Offices,0.008386907395715116,10.057142857142857,increased
742,Permit Extension Fee,0.021579318495426096,10.328571428571426,increased
743,Homeless Information Line and Homeless Resources,0.01576332272447011,10.600000000000001,increased
744,Retiree - Prescription Insurance Inquiry,0.0001869168178787727,11.0,increased
745,Noise Complaint to the Department of Environmental Protection,0.041090449435243696,11.214285714285715,increased
746,COVID-19  Accessing Services for Homeless Individuals and Families,0.00020221778143050305,11.5,increased
747,Employee or Participating Agency- Verify Health Insurance Coverage,0.043684864798102165,12.1,increased
748,Employee or Retiree - Turning Age 65,0.04036985611268403,12.3,increased
749,Standards for Class 3 Accessory Dwelling Units,0.00032831582640120135,12.4,increased
750,Montgomery Cares Clinics for Low Income Adults,0.006778562065988995,12.442857142857143,increased
751,Recording Fees Associated With a Deed in Montgomery County,0.0007770005960640952,12.714285714285715,increased
752,Child Support Administration of Maryland,0.0001794209412255716,13.514285714285712,increased
753,COVID-19 Maryland Department of Health Frequently Asked Questions,0.02577815864515564,13.7,increased
754,"Death of a County Retiree, Active Employee or Dependent",0.031373795186433566,14.6,increased
755,United States Department of Labor Employment Call Center,0.00927037671870776,14.72857142857143,increased
756,Montgomery County Internal Revenue Service Office,0.04761353008103919,15.814285714285715,increased
757,Maternity Partnership Program Case Management and Education - Germantown,0.00010057753475900259,16.028571428571432,increased
758,Contact Montgomery County Government,0.013942157475046029,17.314285714285717,increased
759,6 Gallon Baby Blue Delivery,0.004368474721194288,17.371428571428574,increased
760,Contact a Landlord Tenant Investigator,3.903400192231932e-05,17.857142857142858,increased
761,COVID-19 Renter Relief Act,0.0017461080078359005,20.1,increased
762,Maternity Partnership Program Case Management and Education - Silver Spring,0.00013639167658916623,20.614285714285714,increased
763,Pregnant Woman In Need of Health Care,0.0011691399865101269,20.95714285714286,increased
764,Absentee Ballot Questions,0.01363932895979936,21.671428571428574,increased
765,Reporting Animal Complaints to the Office of Animal Services,0.005936758937734003,22.0,increased
766,First Month's Rent or Security Deposit - HHS,0.04067615132804202,22.1,increased
767,Ride On Real Time Accuracy,0.038964341869101846,22.371428571428567,increased
768,Process for Electrical License Renewal,7.359033841542304e-05,22.44285714285714,increased
769,Contact Case Manager 7300 Calhoun Place Income Support Office,0.004073843877934911,22.54285714285714,increased
770,Status of Health Care Eligibility Units Application  or How to Apply All Three Office Locations,4.529251900486571e-05,22.94285714285714,increased
771,"Permit Required for Fence, Deck or Shed",0.03653174201012279,24.942857142857143,increased
772,How to Request an Absentee Ballot Application,0.010378498612243195,25.885714285714286,increased
773,311 Call Centers Outside Maryland,0.0031886901853037867,27.714285714285715,increased
774,"Board of Elections Location, Mailing Address, and Business Hours",0.009448627332263008,28.357142857142858,increased
775,COVID-19 Evictions and Utility Disconnections Suspended,0.00597375522594164,28.8,increased
776,COVID-19 Report Violations of Maryland Governor's Emergency Orders to the Montgomery County Police,0.0031515010897964855,29.5,increased
777,Applying for the Rental Assistance Program or Status of an Application,0.0036331191328284967,30.84285714285715,increased
778,HELP Non Profit Community Groups,0.007506501608148193,33.0,increased
779,Contact MANNA and How to Make a Donation to MANNA,0.04634711360665777,35.614285714285714,increased
780,Obtain a Tax Clearance Certificate,0.004702037272735648,36.285714285714285,increased
781,"COVID-19 Maryland Health Connection Special Enrollment Period Through July 15, 2020",0.0029308207182043903,36.6,increased
782,Montgomery County Public Schools Contact Information,0.0001265602092379885,44.1,increased
783,State of Maryland Information Center,0.008028686878248805,48.057142857142864,increased
784,Birth Death Marriage or Divorce Certificates,5.651527122505523e-07,53.785714285714285,increased
785,Motor Vehicle Administration (MVA),0.0012556381855161724,55.900000000000006,increased
786,COVID-19 Phase Two Reopening,0.03159277923150974,56.2,increased
787,COVID-19 2021 Rental Housing Licensing Renewal and Common Ownership Communities (COC) Annual Registration on Hold,0.008547113233640517,57.9,increased
788,Personal Property Tax Bills,0.0002828786796489366,60.64285714285714,increased
789,Request County to Plant a Tree,0.011030698640232393,60.91428571428572,increased
790,Reconsideration Recertification or Redetermination for Public Assistance Benefits,0.0007948500851307609,65.28571428571429,increased
791,COVID-19 Resources for Businesses,0.0043197569127641985,71.6,increased
792,HIV or STD Testing Information and Resources,2.1545028109188413e-05,78.0,increased
793,Cancel Recycling & Refuse Service Request,3.686375088725946e-09,81.97142857142858,increased
794,COVID-19 Governor Hogan Executive Orders for Maryland,0.04911602235201743,90.0,increased
795,COVID-19 Ride On Temporary Free Bus Service and Boarding Changes,0.04707179849176677,98.8,increased
796,"COVID-19 Restaurant, Bars, Theater, Gyms and other Businesses Licensed by Public Health Services License and Regulatory office",0.0004578804951110961,103.5,increased
797,MANNA Food Center Referral,0.0098575812630021,114.80000000000001,increased
798,Permit Status,0.007127956140239014,115.98571428571438,increased
799,COVID-19 Food Access Call Center,0.0016909390221906458,121.0,increased
800,35 Gallon Cart Delivery,6.939246695026919e-06,124.04285714285714,increased
801,Missed Collection,4.7195327599843324e-08,125.88571428571427,increased
802,Contact Income Supports Case Manager Silver Spring,0.0015056819991046118,134.34285714285713,increased
803,Electronic Benefits Transfer (EBT) Card Information for Public Assistance Benefits,0.0006255361871406834,141.64285714285714,increased
804,65 Gallon Cart Delivery,3.343632670712469e-08,141.85714285714286,increased
805,COVID-19 Health Care Eligibility Units or County Safety Net Programs,0.0001402944338695674,148.8,increased
806,"Unemployment Information through the Maryland State Department of Labor, Licensing and Regulation",0.002250918875602376,150.31428571428572,increased
807,"Status of Tree Prune, Stump or Removal",3.0698589426912494e-05,159.34285714285713,increased
808,Contact Income Supports Case Manager Rockville,0.012388896313062867,184.3,increased
809,COVID-19 Testing for Coronavirus COVID-19,0.019630776465716624,187.9,increased
810,eServices (ePermit and ePlans),2.014574980277722e-05,202.0,increased
811,COVID-19 Testing for Coronavirus,0.0218368337109338,221.9,increased
812,COVID-19 Coronavirus General Information,0.006709399032649606,231.5,increased
813,"How to Apply for Public Assistance Programs, and Obtain and Application: Medicaid or Medical Assistance, Food Stamps, Cash Assistance Including Temporary  Disability Assistance and Temporary Cash Assistance",0.03610506761276727,256.3,increased
814,"How to Apply for Public Assistance Programs: Medicaid or Medical Assistance, Food Stamps, Cash Assistance Including Temporary  Disability Assistance and Temporary Cash Assistance",0.041771101758048775,260.48571428571427,increased
815,Unacceptable for Collection - Recycling & Refuse Services,0.00028066939018417825,319.6,increased
816,Same Day,2.21103384552833e-08,332.7142857142857,increased
817,State of Maryland Customer Call Center for Department of Human Services,0.001790834930675183,333.35714285714283,increased
818,Contact Income Supports Case Manager Germantown,0.00014359301808728082,339.24285714285713,increased
819,Apply for office of Home Energy Programs or check Status of New Application or Recertification,0.0037523283816651974,367.8285714285714,increased
820,Field Check,3.500406538317089e-06,389.7857142857143,increased
821,COVID-19 Ride On Bus Service Reductions,0.017303911088966385,399.6,increased
822,Cart Repair,9.826108688246469e-07,452.3285714285714,increased
823,Transfer Station Questions,0.04713515320162557,478.1714285714286,increased
824,"COVID-19 Closures, Service Modifications and Cancellations in Montgomery County",0.0005327852195891981,491.0,increased
825,Status of Income Support Benefits Case - New Application or Recertification,9.109320508262807e-06,548.7571428571429,increased
826,22 Gallon Bin Pick-up,1.338288488442245e-07,656.1142857142856,increased
827,Scrap Metal Pick-Up Request,0.0008070869030858903,930.1285714285714,increased
828,Bulk Trash Pick-Up Request,9.257405480725349e-06,1149.6857142857143,increased
829,COVID-19 Rental Relief Program HHS,0.0004432261107919504,1217.9,increased
830,22 Gallon Bin Delivery,6.305227675096868e-07,2029.4285714285716,increased
